Letter Id;Mentioned Person
huyg003/1571;Petit, Pierre
huyg003/1605;Sancto Vincentio, Gregorius a
huyg003/1610;Wallis, John
huyg003/1635;Auzout, Adrien
huyg003/1665;Auzout, Adrien
huyg003/1677;Auzout, Adrien
huyg003/1631;Carcavy, Pierre de
huyg003/1630;Carcavy, Pierre de
huyg003/1643;Carcavy, Pierre de
huyg003/1651;Carcavy, Pierre de
huyg003/1652;Carcavy, Pierre de
huyg003/1654;Carcavy, Pierre de
huyg003/1658;Carcavy, Pierre de
huyg003/1664;Carcavy, Pierre de
huyg003/1665;Carcavy, Pierre de
huyg003/1687;Cassini, Giovanni Domenico
huyg003/1665;Cassini, Giovanni Domenico
huyg003/1677;Cassini, Giovanni Domenico
huyg003/1622;Descartes, René
huyg003/1685;Descartes, René
huyg003/1645;Descartes, René
huyg003/1689;Descartes, René
huyg003/1690;Galilei, Galileo
huyg003/1622;Galilei, Galileo
huyg003/1621;Galilei, Galileo
huyg003/1633;Hudde, Johannes
huyg003/1638;Hudde, Johannes
huyg003/1628;Huygens, Christiaan
huyg003/1653;Huygens, Christiaan
huyg003/1672;Huygens, Christiaan
huyg003/1682;Huygens, Christiaan
huyg003/1638;Kepler, Johannes
huyg003/1659;Sancto Vincentio, Gregorius a
huyg003/1671;Sancto Vincentio, Gregorius a
huyg003/1676;Sancto Vincentio, Gregorius a
huyg003/1672;Schooten, Frans van
huyg003/1685;Wallis, John
huyg003/1669;Wallis, John
huyg003/1670;Wallis, John
huyg003/1675;Wallis, John
huyg003/1683;Wallis, John
huyg003/1670;Wren, Christopher
huyg003/1675;Wren, Christopher
huyg003/1683;Wren, Christopher
huyg003/1717;Auzout, Adrien
huyg003/1773;Auzout, Adrien
huyg003/1708;Boyle, Robert
huyg003/1726;Boyle, Robert
huyg003/1754;Boyle, Robert
huyg003/1761;Boyle, Robert
huyg003/1770;Boyle, Robert
huyg003/1779;Boyle, Robert
huyg003/1694;Carcavy, Pierre de
huyg003/1738;Carcavy, Pierre de
huyg003/1744;Carcavy, Pierre de
huyg003/1762;Carcavy, Pierre de
huyg003/1763;Carcavy, Pierre de
huyg003/1784;Carcavy, Pierre de
huyg003/1741;Cassini, Giovanni Domenico
huyg003/1735;Cassini, Giovanni Domenico
huyg003/1742;Cassini, Giovanni Domenico
huyg003/1744;Cassini, Giovanni Domenico
huyg003/1770;Cassini, Giovanni Domenico
huyg003/1773;Cassini, Giovanni Domenico
huyg003/1705;Copernicus, Nicolaus
huyg003/1787;Descartes, René
nier005/0044;Descartes, René
huyg003/1697;Descartes, René
huyg003/1699;Descartes, René
huyg003/1705;Descartes, René
huyg003/1706;Descartes, René
huyg003/1717;Descartes, René
huyg003/1716;Descartes, René
huyg003/1724;Descartes, René
huyg003/1728;Descartes, René
huyg003/1732;Descartes, René
huyg003/1736;Descartes, René
huyg003/1738;Descartes, René
huyg003/1763;Descartes, René
huyg003/1716;Fabri, Honoré
huyg003/1705;Galilei, Galileo
huyg003/1716;Galilei, Galileo
huyg003/1736;Galilei, Galileo
huyg003/1742;Hevelius, Johannes
huyg003/1761;Hevelius, Johannes
huyg003/1779;Hevelius, Johannes
huyg003/1751;Hobbes, Thomas
huyg003/1754;Hobbes, Thomas
huyg003/1735;Hooke, Robert
huyg003/1738;Hooke, Robert
huyg003/1742;Hooke, Robert
huyg003/1744;Hooke, Robert
huyg003/1751;Hooke, Robert
huyg003/1754;Hooke, Robert
huyg003/1757;Hooke, Robert
huyg003/1761;Hooke, Robert
huyg003/1773;Hooke, Robert
huyg003/1779;Hooke, Robert
huyg003/1732;Hudde, Johannes
huyg003/1738;Hudde, Johannes
huyg003/1709;Huygens, Christiaan
huyg001/6700;Huygens, Christiaan
huyg001/6722;Huygens, Christiaan
huyg003/1782;Huygens, Christiaan
huyg003/1728;Mersenne, Marin
huyg003/1790;Schooten, Frans van
huyg003/1715;Schooten, Frans van
