Letter Id;Mentioned Person
huyg003/1899;Descartes, René
huyg003/1916;Galilei, Galileo
huyg003/1916;Gassendi, Pierre
huyg003/1914;Hobbes, Thomas
huyg003/1869;Huygens, Christiaan
huyg003/1897;Huygens, Christiaan
huyg003/1858;Newton, Isaac
huyg003/1860;Newton, Isaac
huyg003/1863;Newton, Isaac
huyg003/1866;Newton, Isaac
huyg003/1868;Newton, Isaac
huyg003/1873;Newton, Isaac
huyg003/1880;Newton, Isaac
huyg003/1885;Newton, Isaac
huyg003/1892;Newton, Isaac
huyg003/1887;Newton, Isaac
huyg003/1890;Newton, Isaac
huyg003/1896;Newton, Isaac
huyg003/1900;Newton, Isaac
huyg003/1905;Newton, Isaac
huyg003/1912;Newton, Isaac
huyg003/1914;Newton, Isaac
huyg003/1858;Wallis, John
huyg003/1860;Wallis, John
huyg003/1866;Wallis, John
huyg003/1881;Wallis, John
huyg003/1912;Wallis, John
huyg003/1914;Wallis, John
huyg003/1920;Boyle, Robert
huyg003/1922;Boyle, Robert
swam001/0042;Boyle, Robert
swam001/0043;Boyle, Robert
huyg003/1932;Boyle, Robert
huyg003/1938;Boyle, Robert
huyg003/1954;Boyle, Robert
huyg003/1959;Boyle, Robert
huyg003/1965;Boyle, Robert
huyg001/6909;Boyle, Robert
huyg003/1969;Boyle, Robert
huyg003/1971;Boyle, Robert
huyg003/1973;Boyle, Robert
huyg003/1974;Boyle, Robert
huyg003/1977;Boyle, Robert
huyg003/1923;Descartes, René
huyg003/1922;Descartes, René
huyg003/1942;Descartes, René
huyg003/1945;Descartes, René
huyg003/1967;Descartes, René
huyg003/1941;Galilei, Galileo
huyg003/1940;Galilei, Galileo
huyg003/1969;Gassendi, Pierre
huyg003/1973;Hobbes, Thomas
huyg003/1957;Huygens, Christiaan
huyg003/1956;Huygens, Christiaan
huyg003/1961;Huygens, Christiaan
huyg003/1962;Huygens, Christiaan
huyg003/1919;Leibniz, Gottfried Wilhelm
huyg003/1924;Leibniz, Gottfried Wilhelm
huyg003/1919;Newton, Isaac
huyg003/1922;Newton, Isaac
huyg003/1930;Newton, Isaac
huyg003/1932;Newton, Isaac
huyg003/1938;Newton, Isaac
huyg003/1945;Newton, Isaac
huyg003/1946;Newton, Isaac
huyg003/1951;Newton, Isaac
huyg003/1954;Newton, Isaac
huyg003/1955;Newton, Isaac
huyg003/1959;Newton, Isaac
huyg003/1969;Newton, Isaac
huyg003/1923;Pascal, Blaise
huyg003/1922;Pascal, Blaise
huyg003/1942;Pascal, Blaise
huyg003/1923;Pascal, Blaise
huyg003/1922;Pascal, Blaise
huyg003/1942;Pascal, Blaise
huyg003/1926;Wallis, John
huyg003/1946;Wallis, John
huyg003/1951;Wallis, John
huyg003/1954;Wallis, John
huyg003/1955;Wallis, John
huyg003/1969;Wallis, John
huyg003/1963;Wallis, John
huyg003/1962;Wallis, John
huyg003/1973;Wallis, John
huyg001/6928;Boyle, Robert
huyg003/1991;Boyle, Robert
leeu027/0008;Boyle, Robert
huyg003/1993;Boyle, Robert
huyg003/1994;Boyle, Robert
leeu027/0009;Boyle, Robert
huyg003/1995;Boyle, Robert
leeu027/0011;Boyle, Robert
leeu027/0010;Boyle, Robert
leeu027/0012;Boyle, Robert
leeu027/0013;Boyle, Robert
nier005/0046;Descartes, René
swam001/0054;Gassendi, Pierre
swam001/0055;Gassendi, Pierre
huyg003/2010;Huygens, Christiaan
huyg001/6928;Huygens, Christiaan
huyg001/6941;Huygens, Christiaan
huyg003/1999;Wallis, John
huyg003/2009;Boyle, Robert
huyg003/2003;Boyle, Robert
huyg003/2019;Boyle, Robert
huyg003/2034;Boyle, Robert
huyg003/2035;Boyle, Robert
huyg003/2037;Boyle, Robert
huyg003/2040;Boyle, Robert
huyg003/2043;Boyle, Robert
huyg003/2049;Boyle, Robert
leeu027/0018;Boyle, Robert
leeu027/0019;Boyle, Robert
huyg003/2024;Descartes, René
huyg003/2057;Descartes, René
huyg003/2033;Descartes, René
huyg003/2063;Descartes, René
huyg003/2024;Galilei, Galileo
huyg003/2070;Galilei, Galileo
huyg003/2067;Huygens, Christiaan
huyg003/2024;Huygens, Christiaan
huyg001/6968;Huygens, Christiaan
huyg003/2019;Huygens, Christiaan
huyg003/2075;Huygens, Christiaan
huyg003/2067;Leibniz, Gottfried Wilhelm
huyg003/2008;Leibniz, Gottfried Wilhelm
huyg003/2031;Leibniz, Gottfried Wilhelm
huyg003/2075;Leibniz, Gottfried Wilhelm
huyg003/2024;Newton, Isaac
